budget,casting,director,duration,entries,film_id,genres,img_src,nationality,release,societies,synopsis,title
,Hitoshi Omika|Ryo Nishikawa|Ryûji Kosaka|Ayaka Shibutani|Hazuki Kikuchi|Hiroyuki Miura,Ryūsuke Hamaguchi,106,,318540,Drame,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/27/09/21/4647670.jpg,Japon,2024-04-10,Neopa Co.|Diaphana Distribution|Fictive,"Takumi et sa fille Hana vivent dans le village de Mizubiki, près de Tokyo. Comme leurs aînés avant eux, ils mènent une vie modeste en harmonie avec leur environnement. Le projet de construction d’un « camping glamour » dans le parc naturel voisin, offrant aux citadins une échappatoire tout confort vers la nature, va mettre en danger l’équilibre écologique du site et affecter profondément la vie de Takumi et des villageois...",Le Mal n'existe pas
5500000€,Gérard Jugnot|François Berléand|Jacques Perrin|Jean-Baptiste Maunier|Kad Merad|Marie Bunel|Jean-Paul Bonnaire|Paul Chariéras,Christophe Barratier,97,,50325,Comédie dramatique|Musical,https://fr.web.img6.acsta.net/c_310_420/pictures/24/03/20/17/00/0381736.jpg,France|Suisse|Allemagne,2024-04-10,Vega Film AG|Galatée Films|Pathé Renn Productions|Canal + (France)|Pathé|Novo Arturo Films|France 2 Cinéma,"En 1948, Clément Mathieu, professeur de musique sans emploi accepte un poste de surveillant dans un internat de rééducation pour mineurs ; le système répressif appliqué par le directeur, Rachin, bouleverse Mathieu. En initiant ces enfants difficiles à la musique et au chant choral, Mathieu parviendra à transformer leur quotidien.",Les Choristes
,Selma Alaoui|Veerle Baetens|Guillaume Duhesme|Anne Dorval|Adèle Wismes|Erico Salamone,Delphine Girard,108,,291964,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/23/12/13/08/51/5606372.jpg,Canada|Belgique|France,2024-04-10,RTBF|Versus Production|The Reunion|Proximus|Colonelle Films|Haut et Court|Playtime|Voo-BE TV,"Une nuit, une femme en danger appelle la police. Anna prend l'appel. Un homme est arrêté. Les semaines passent, la justice cherche des preuves, Aly, Anna et Dary font face aux échos de cette nuit qu'ils ne parviennent pas à quitter.",Quitter la nuit
,Nell Tiger Free|Bill Nighy|Tawfeek Barhom|Sônia Braga|Nicole Sorace|Maria Caballero|Ralph Ineson|Andrea Arcangeli,Arkasha Stevenson,120,,229955,Epouvante-horreur,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/04/09/17/5170952.jpg,U.S.A.,2024-04-10,The Walt Disney Company France|20th Century Studios|Phantom Four Films,"Après avoir été envoyée à Rome pour entrer au service de l'Église, une jeune Américaine se retrouve bientôt confrontée à des forces obscures qui l'amènent à remettre en question sa propre foi et à lever le voile sur une terrifiante conspiration qui entend donner naissance à l’incarnation du Mal.",La Malédiction : l'origine
,Maya de Vicq|Eduarda Samara|Alaylson Emanuel|Maeve Jinkings|Erom Cordeiro,Nara Normande|Tião,91,,315136,Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/12/14/09/5106548.jpg,Brésil|France|Italie,2024-04-10,VITRINE FILMES|CinemaScópio|Les Valseurs|The Party Film Sales,"Été 1996, Nordeste Brésilien, Tamara profite de ses dernières vacances avant de partir à Brasilia pour ses études. Un jour, elle entend parler d’une fille surnommée « Sans Cœur » à cause de la cicatrice qui lui traverse la poitrine. Tamara ressent une attirance immédiate pour cette fille mystérieuse, qui va grandir tout au long de l’été.",Sans coeur
,Rutger Hauer|C. Thomas Howell|Jennifer Jason Leigh|Jeffrey DeMunn|John M. Jackson|Billy Green Bush|Jack Thibeau|Armin Shimerman,Robert Harmon,97,,36723,Epouvante-horreur|Thriller,https://fr.web.img6.acsta.net/c_310_420/pictures/24/03/13/14/41/3157292.jpg,U.S.A.,2024-04-10,Tamasa Distribution|Home Box Office (HBO)|TriStar Pictures,"Alors qu’il roule sur une autoroute déserte en direction de la Californie, Jim Halsey prend en auto-stop un dénommé John Ryder, un personnage étrange et inquiétant. Jim comprend très rapidement qu’il a a aire à un tueur psychopathe. Alors qu’il parvient à s’en débarrasser, une course-poursuite commence entre Ryder et sa proie, qui endosse, malgré elle, les meurtres de son poursuivant. Jim est pris en chasse par la police locale et ne trouve personne à qui se confier, excepté Nash, une serveuse qu’il est contraint de prendre en otage...",Hitcher
,Majd Mastoura|Walid Bouchhioua|Samer Bisharat|Helmi Dridi|Selma Zeghidi|Wissem Belgharek,Mohamed Ben Attia,98,,315138,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/24/03/12/14/05/4191807.jpg,Tunisie|France|Belgique|Arabie Saoudite|Qatar,2024-04-10,Les Films du Fleuve|Luxbox|Nomadis Images|Tanit Films|Kinovista,"Rafik, un homme d’apparence ordinaire, semblait avoir tout pour lui. Jusqu’à sa condamnation à quatre ans de prison pour un accès de folie que son entourage ne parvient pas à expliquer. À sa sortie, il décide d’enlever son enfant et de l’emmener dans les montagnes pour lui révéler son incroyable secret.",Par-delà les montagnes
,Keith Silverstein|Rodrigo Santoro|Marcelo Adnet|Christopher Corey Smith|Laila McCann|Alice Braga|Ian James Corlett|Emmanuel Dell'Erba|Thierry Janssen|Maxime Donnay|Philippe Allard|Aaricia Dubois|Séverine Cayron|Peppino Capotondi,Sérgio Machado|Alois Di Leo,95,,265582,Aventure|Animation|Famille|Comédie musicale,https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/04/17/29/2864540.jpg,Brésil|Inde,2024-04-10,Le Pacte,"Vini et Tito, deux souris artistes de music-hall, voient leurs rêves de succès tomber à l’eau lorsque la Terre est noyée par le Déluge. ",Les Aventuriers de l'arche de Noé
,Nadia Tereszkiewicz|Benoît Magimel|Benjamin Biolay|Guillaume Gouix|Gustave Kervern|Juliette Armanet|Anna Biolay|Lucas Englander,Stéphanie Di Giusto,115,,305738,Drame|Historique|Romance,https://fr.web.img3.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/24/03/05/09/54/4037649.jpg,France|Belgique,2024-04-10,Artémis Productions|France 3 Cinéma|Trésor Films|Gaumont International|Gaumont Distribution,"Rosalie est une jeune femme dans la France de 1870 mais ce n’est pas une jeune femme comme les autres, elle cache un secret : depuis sa naissance, son visage et son corps sont recouverts de poils. De peur d’être rejetée, elle a toujours été obligée de se raser. Jusqu’au jour où Abel, un tenancier de café acculé par les dettes, l’épouse pour sa dot sans savoir son secret. Mais Rosalie veut être regardée comme une femme, malgré sa différence qu’elle ne veut plus cacher. En laissant pousser sa barbe, elle va enfin se libérer. Elle veut qu’Abel l’aime comme elle est, alors que les autres vont vouloir la réduire à un monstre. Abel sera-t-il capable de l’aimer ? Survivra-t-elle à la cruauté des autres ?",Rosalie
,Paul Rudd|Carrie Coon|Finn Wolfhard|Mckenna Grace|Kumail Nanjiani|Patton Oswalt|Celeste O’Connor|Logan Kim,Gil Kenan,116,,303942,Action|Aventure|Fantastique,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/23/09/52/1147009.jpg,U.S.A.,2024-04-10,Sony Pictures|Sony Pictures Releasing France,"La famille Spengler revient là où tout a commencé, l'emblématique caserne de pompiers de New York. Ils vont alors devoir faire équipe avec les membres originels de S.O.S. Fantômes, qui ont mis en place un laboratoire de recherche top secret pour faire passer la chasse aux fantômes à la vitesse supérieure. Lorsque la découverte d'un ancien artefact libère une armée de fantômes qui répand une menace de glace sur la ville, les deux équipes S.O.S. Fantômes doivent unir leurs forces pour protéger leur maison et sauver le monde d'une seconde ère glaciaire.",S.O.S. Fantômes : La Menace de glace
,François Pérusse|Eric Bernier|Guy Jodoin|Véronic DiCaire|Katherine Levac|Marcel Sabourin|Muriel Dutil|Guillaume Lambert,Guillaume Lambert,106,,307540,Comédie|Drame,https://fr.web.img3.acsta.net/c_310_420/pictures/23/07/27/16/50/0105259.jpg,Canada,2024-04-10,Vues du Québec distribution,"Trois frères dans la cinquantaine devront reprendre contact suite à la mort de leur père, décédé prématurément d’un malheureux Ice Bucket Challenge.",Niagara
,Charlotte Gainsbourg|José Garcia|Lily Aubry|Hadrien Heaulmé|Louisa Baruk|Lyes Salem|Luis Rego|Sébastien Chassagne,Florent Bernard,103,,312488,Comédie,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/18/11/58/1341073.jpg,France,2024-04-10,Nolita Cinema|Apollo Films|Newen|TF1 Films Production|TF1 Studio|Apollo Films / TF1 Studio,"Sandrine Leroy annonce à son mari Christophe qu’elle veut divorcer. Leurs enfants ont bientôt l’âge de quitter la maison. Dans une opération de la dernière chance aussi audacieuse qu’invraisemblable, Christophe organise un week-end pour sauver son mariage : un voyage passant par les endroits clés de l’histoire de leur famille. Un voyage qui ne va pas être de tout repos…","Nous, les Leroy"
